XBDM-1015LV,"Xtreme Power XBDM Series 15 Amp Maintenance Bypass Distribution Module with 12' Input line cord with 5-15P plug; (6) 5-15R output receptacles on front of BDM + (4) 5-15R output receptacles on rear of BDM; Includes maint bypass switch allowing for  bypassing and maintenance of the UPS without affecting the connected loads;3-Year Warranty (USA and Canada); 19""W x 3.5""D x 1.75""H, 3.5 lbs   For use with 700VA, 1000VA, 1500VA V80 Series ",$379.00 ,,
V805SP71,"Xtended 5YR Factory Warranty for V80-700 and V80-1000   (USA and Canada) - 5 Year Coverage includes coverage of electronics and internal batteries, telephone technical support, advanced exchange and ground shipping both ways.",$225.00 ,,
V805S52,"Xtended 5YR Factory Warranty for V80-1500 and V80-2000   (USA and Canada) - 5 Year Coverage includes coverage of electronics and internal batteries, telephone technical support, advanced exchange and ground shipping both ways.",$360.00 ,,
V80HT5SP71,"Xtended 5YR Factory Warranty for V80-700 and V80-1000   (USA and Canada) - 5 Year Coverage includes coverage of electronics and internal batteries, telephone technical support, advanced exchange and ground shipping both ways.",$225.00 ,,
V80HT5SP52,"Xtended 5YR Factory Warranty for V80HT-1500 and V80HT-2000   (USA and Canada) - 5 Year Coverage includes coverage of electronics and internal batteries, telephone technical support, advanced exchange and ground shipping both ways.",$360.00 ,,
,,,,
MODEL,DESCRIPTION,LIST PRICE,,
P80-800,"Xtreme Power P80 Series 800VA/720W; Line-Interactive UPS; true Sinewave output; 2U; 120VAC; 1.5A charger; Full Load Runtime = 4 min; 6' input line cord with 5-15 plug; (8) 5-15R output receptacles; Tower and rack mounting; 97% efficiency in ECO mode; Smart LCD screen; RS-232 and USB port connections;  UL, cUL, RoHS approved; 3 year full Warranty (USA and Canada);  50K load protection policy; 17.2""W x 15.1""D x 3.5""H; 29 lbs",$789.00 ,,
P80-1100,"Xtreme Power P80 Series 1100VA/990W; Line-Interactive UPS; true Sinewave output; 2U; 120VAC; 1.5A charger; Full Load Runtime = 3 min; 6' input line cord with 5-15 plug; (8) 5-15R output receptacles; Tower and rack mounting; 97% efficiency in ECO mode; Smart LCD screen; RS-232 and USB port connections;  UL, cUL, RoHS approved; 3 year full Warranty (USA and Canada);  50K load protection policy; 17.2""W x 15.1""D x 3.5""H; 30 lbs",$849.00 ,,
P80-1500,"Xtreme Power P80 Series 1500VA/1350W; Line-Interactive UPS; true Sinewave output; 2U; 120VAC; 1.5A charger; Full Load Runtime = 4 min; 6' input line cord with 5-15 plug; (8) 5-15R output receptacles; Tower and rack mounting; 97% efficiency in ECO mode; Smart LCD screen; RS-232 and USB port connections;  UL, cUL, RoHS approved; 3 year full Warranty (USA and Canada);  50K load protection policy; 17.2""W x 18.9""D x 3.5""H; 43 lbs","$1,099.00 ",,
P80-2000,"Xtreme Power P80 Series 2000VA/1800W; Line-Interactive UPS; true Sinewave output; 2U; 120VAC; 1.5A charger; Full Load Runtime = 4 min; 6' input line cord with 5-20 plug; (8) 5-15/20R output receptacles; Tower and rack mounting; 97% efficiency in ECO mode; Smart LCD screen; RS-232 and USB port connections;  UL, cUL, RoHS approved; 3 year full Warranty (USA and Canada);  50K load protection policy; 17.2""W  x  18.9""D x 3.5""H; 48 lbs","$1,249.00 ",,
P80-2200,"Xtreme Power P80 Series 2200VA/2000W; Line-Interactive UPS; true Sinewave output; 2U; 120VAC; 1.5A charger; Full Load Runtime = 4 min; 6' input line cord with 5-20 plug; (8) 5-15/20R output receptacles; Tower and rack mounting; 97% efficiency in ECO mode; Smart LCD screen; RS-232 and USB port connections;  UL, cUL, RoHS approved; 3 year full Warranty (USA and Canada);  50K load protection policy; 17.2""W  x 23.6""D x 3.5""H; 68 lbs","$1,569.00 ",,
P80-3000,"Xtreme Power P80 Series 3000VA/2700W; Line-Interactive UPS; true Sinewave output; 2U; 120VAC; 1.5A charger; Full Load Runtime = 4 min; 6' input line cord with L5-30 plug; (8) 5-15/20R output receptacles; Tower and rack mounting; 97% efficiency in ECO mode; Smart LCD screen; RS-232 and USB port connections;  UL, cUL, RoHS approved; 3 year full Warranty (USA and Canada);  50K load protection policy; 17.2""W  x 23.6""D x 3.5""H; 71 lbs","$1,729.00 ",,
P80-3000V2,"Xtreme Power P80 Series 3000VA/2700W; Line-Interactive UPS; true Sinewave output; 2U; 120VAC; 1.5A charger; Full Load Runtime = 4 min; 6' input line cord with L5-30 plug; (6) 5-15/20R and (1) L5-30R output receptacles; Tower and rack mounting; 97% efficiency in ECO mode; Smart LCD screen; RS-232 and USB port connections;  UL, cUL, RoHS approved; 3 year full Warranty (USA and Canada);  50K load protection policy; 17.2""W  x 23.6""D x 3.5""H; 71 lbs","$1,729.00 ",,
P80g-3000,"Xtreme Power P80g Series 3000VA/2700W; Line-Interactive UPS; true sinewave output; 2U; 208-240VAC; 1.5A charger; Full Load Runtime = 4 min; IEC C19 to L6-20P detachable input line cord (8 ft);  (1) IEC C19 + (8) IEC C13 output receptacles; Tower and rack mounting; 99% efficiency in ECO mode; Smart LCD screen; RS-232 and USB port connections; CE and RoHS approved; 3 year full Warranty (USA and Canada); 50K load protection policy; 17.2""W x 23.6""D x 3.5""H. 71 lbs","$1,670.00 ",,
P80g-3KTB ,"Xtreme Power P80g Series 3000VA/2700W UPS and XPD-IT15A Bundle; Line-Interactive, true sinewave UPS with 1500VA/1500W 120V Transformer PDU; 208VAC input -208/120V output;  Full Load Runtime = 4 min; System has IEC-C19 to L6-20P detachable input line cord (8 ft);  Output receptacles include (1) IEC C19 + (7) IEC C13 (208V) + (16) 5-15R (120V). Rack mounting; 99% efficiency in ECO mode; 1.5A charger; UPS and PDU LCD screens; RS-232 and USB port connections; 3 year full Warranty (USA and Canada); 50K load protection policy; UPS 17.2""W x 23.6""D x 3.5""H. 71 lbs. Transformer 17.5""W x 15""D x 3.5""H , 43 lbs
Package Includes:
P80g-3000 UPS Power Module (2U)
XPD-IT15A Transformer Module (2U)
UPS to Transformer Cable C13 to C14
Software
P90-Rail 4-Post Rail Kit","$2,920.00 ",,
P80g-5000,"Xtreme Power P80g Series 5000VA/4500W; Line-Interactive UPS; true sinewave output; 2U; 208-240VAC; 1.5A charger; Full Load Runtime = 2.5 min; L6-30P input line cord (6 ft);  (1) L6-30R + (4) IEC C19 output receptacles; Tower and rack mounting; 99% efficiency in ECO mode; Smart LCD screen; RS-232 and USB port connections; CE and RoHS approved; 3 year full Warranty (USA and Canada); 50K load protection policy; 17.2""W x 23.6""D x 3.5""H. 85 lbs","$2,750.00 ",,
P80g-5KB1,"Xtreme Power P80g Series 5000VA/4500W; Line-Interactive UPS; true sinewave output; 2U; 208-240VAC; 1.5A charger; Full Load Runtime = 2.5 min; L6-30P input line cord (6 ft);  (2) L6-30R + (2) L6-20R + (1) IEC C19 output receptacles; Tower and rack mounting; 99% efficiency in ECO mode; Smart LCD screen; RS-232 and USB port connections; CE and RoHS approved; 3 year full Warranty (USA and Canada); 50K load protection policy; 17.2""W x 23.6""D x 3.5""H. 90 lbs","$3,066.00 ",,
P80g-5KB2,"Xtreme Power P80g Series 5000VA/4500W; Line-Interactive UPS and XPD24C13V PDU bundle; true sinewave output; 2U; 208-240VAC; 1.5A charger; Full Load Runtime = 2.5 min; L6-30P input line cord (6 ft);  (4) IEC C19  + (24) IEC C13 output receptacles; Tower and rack mounting; 99% efficiency in ECO mode; Smart LCD screen; RS-232 and USB port connections; CE and RoHS approved; 3 year full Warranty (USA and Canada); 50K load protection policy; 17.2""W x 23.6""D x 3.5""H. 97 lbs","$3,090.00 ",,
P80g-5KTB,"Xtreme Power P80g Series 5000VA/4500W; Line-Interactive UPS and XPD-IT60A Transformer PDU bundle; true sinewave output; 2U; 208V or 240V in, 208/104V or 240/120V out, Max. 120V load is 4KW; 1.5A charger; Full Load Runtime = 2.5 min; L6-30P input line cord (6 ft);  (2) L6-30R, (2) L6-20R and  (12) 5-15/20R output receptacles; Tower and rack mounting; 99% efficiency in ECO mode; Smart LCD screen; RS-232 and USB port connections; CE and RoHS approved; 3 year full Warranty (USA and Canada); 50K load protection policy; 17.2""W x 23.6""D x 7""H (4U). 147 lbs. 
 Bundle includes:
 P80G-5000 UPS,
 IT60A transformer PDU, 
(3) receptacle dongles, 
(2) 4-post rail kits.","$5,427.00 ",,
P90-BP48,"Extended Runtime Battery Pack for use with P80-1500, P80-2000, P90-2000 or P90L-2000 UPSs;  (includes 8 each 12V9AH batteries); __ Battery Packs provide(s) __ minutes runtime @ __KVA load.  Tower or Rack Mounting; TUV/UL,  RoHS, cUL Approved; 3-Year Full Warranty (USA only); 17.2""W x 18.9""D x 3.5""H; 74.6 lbs",$990.00 ,,
P90-BP72,"Extended Runtime Battery Pack for use with P80-2200, P80-3000, P80g-3000, or P90/P90L-3000 and P90g/P90Lg-3000 UPSs;  (includes 12 each 12V9AH batteries) ;__ Battery Packs provide(s) __ minutes runtime @ __KVA load.   Tower or Rack Mounting; TUV/UL, RoHS, cUL Approved; 3-Year Full Warranty (USA only); 17.2""W x 23.6""D x 3.5""H; 104.4 lbs","$1,290.00 ",,
P80-BP72X,"Extended Runtime Battery Pack for use with P80g-5000 UPS;  (includes (12) 12V 580W at 5 min rate batteries) ;__ Battery Packs provide(s) __ minutes runtime @ __KVA load.   Tower or Rack Mounting; CE, RoHS Approved; 3-Year Full Warranty (USA only); 17.2""W x 23.6""D x 3.5""H; 110.4 lbs","$1,720.00 ",,
P90-RAIL,"4-Post Rail Kit for use with P80-800VA thru 5KVA or P90-1KVA  thru 3KVA UPS or EBM;   3.8""W x 19.8""D x 2.8""H. 5 lbs.",$135.00 ,,
P90L-RAIL,"Adjustable Mounting 4-Post Rail Kit .  Adjusts out to 44.4"". ;  3.8""W x 19.8""D x 2.8""H, 5 lbs",$149.00 ,,
XPC-2PRAIL,"2-Post Rail Kit for P80, P90, P90L and NXRT 800VA thru 5kVA  UPS or EBM;  rated for 125 lbs;  4""W x 20""D x 3""H. 5 lbs.",$102.00 ,,
XPC-2POSTL,"2-Post Shelf Kit for P80-800VA thru 5kVA or P90-1KVA thru 3KVA UPS or EBM;  rated for 150 lbs;  21.5""W x 23.3""D x 3.5""H. 9 lbs.",$160.00 ,,
PV-WMB,"Wall mount bracket for use with P80, P90 and P90L series UPSs and battery packs up to 5KVA;   4""W x 24""D x 4""H. 5 lbs.",$80.00 ,,
P90-FRMB,Front Rackmount Bracket for P80 800VA through 2KVA size or P90 1KVA thru 2KVA size.  Required when front mounting the UPS to a 2 post or 4 post rack with no rail kit.,$36.00 ,,
SNMP-2PV3,"Internal SNMP/WEB Card for use with P80 or  P90 Series UPS; Allows for monitoring and management of UPS through a web browser or SNMP platform: Provides shutdown of remote clients via LAN, and Email Notification of UPS status and events. Compatible with SNMP-EMPV2 Environmental Monitor;  Packaging  = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$359.00 ,,
SNMP-EMPV2,"Environmental Monitoring Sensor to monitor room temperature and humidity -  used with SNMP-2PV3 SNMP/WEB Card. Packaging = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$230.00 ,,
MODBUS-IN,"MODBUS CARD for use with the P80 or P90 Series UPS. Packaging = 7.25""W x 6""D x 2.5""H, 1 lbs",$319.00 ,,
RELAY-MINI,"Dry Contact RELAY CARD with DB9 & terminal block adapter. Packaging = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$120.00 ,,
XBDM-1015LV,"Xtreme Power XBDM Series 15 Amp Maintenance Bypass Distribution Module with 12' Input line cord with 5-15P plug; (6) 5-15R output receptacles on front of BDM + (4) 5-15R output receptacles on rear of BDM; Includes maint bypass switch allowing for  bypassing and maintenance of the UPS without affecting the connected loads;3-Year Warranty (USA only); 19""W x 3.5""D x 1.75""H, 3.5 lbs",$379.00 ,,
XBDM-1020LV,"Xtreme Power XBDM Series 20 Amp Maintenance Bypass Distribution Module with 12' Input line cord with 5-20P plug; (6) 5-20R output receptacles on front of BDM + (4) 5-20R output receptacles on rear of BDM; Includes maint bypass switch allowing for  bypassing and maintenance of the UPS without affecting the connected loads; 3-Year Warranty (USA only); 19""W x 3.5""D x 1.75""H, 3.5 lbs",$419.00 ,,
XBDM-1030LV,"Xtreme Power XBDM Series 30 Amp Maintenance Bypass Distribution Module with 6' Input line cord with L5-30P plug; (5) 5-20R output receptacles on front of BDM (Load Group 1) + (5) 5-20R output receptacles on rear of BDM (Load Group 2);  (2) bypass switches allowing for  bypassing and maintenance of the UPS without affecting the connected loads; 3-Year Warranty (USA only); 19""W x 3.5""D x 1.75""H, 3.5 lbs",$659.00 ,,
XPD1415HV,"Xtreme Power XPDU Series Basic Power PDU with 12' Input line cord with 5-15P plug; (6) 5-15R output receptacles on front of PDU + (8) 5-15R output receptacles on rear of PDU; UL60950-1/cUL/FCC Approved; 3-Year Warranty; 19""W x 3.5""D x 1.75""H, 3.5 lbs",$138.00 ,,
XPD1420HV,"Xtreme Power XPDU Series Basic Power PDU with 12' Input line cord with L5-20P plug (L5-20 to 5-20 adapter included); (6) 5-20R output receptacles on front of PDU + (8) 5-20R output receptacles on rear of PDU; UL60950-1/cUL/FCC Approved; 3-Year Warranty; 19""W x 3.5""D x 1.75""H, 4.8 lbs",$190.00 ,,
XPC-ZLC20-620R,"P80g/90g Output Cord, 1ft, IEC Locking C20 to 6-15/20R.  3 lbs. ",$79.00 ,,
XPC-ZLC20-L620R,"P80g/90g Output Cord,1ft,  IEC Locking C20 to L6-20R. 3 lbs. ",$79.00 ,,
XPC-ZLC20-L630R,"P80g/90g Output Cord, 1ft, IEC  Locking C20 to L6-30R. 3 lbs. ",$79.00 ,,
XPC-C14-615R,"P80g/90g Output Cord, 1ft, IEC C14 to 6-15R. 3 lbs. ",$45.00 ,,
XBDM1020HV2,"Xtreme Power XBDM Series Maintenance Bypass Distribution Module for use with P80G-3000 or P90G-3000 UPS;  C20 input receptacle;  rated at 16A; (2) IEC C19 and (4) IEC C13 output receptacles on front + (4) IEC C13 output receptacles on back;  Includes maint bypass switch allowing for bypassing and maintenance of the UPS without affecting the connected loads; Includes (2) IEC C20-C19 cord kit; 3-Year Warranty (USA only); 19""W x 3.5""D x 1.75""H, 3.5 lbs",$419.00 ,,
XPD24C13V,"Xtreme Power XPDU Series Basic Power PDU, 30A,  200-240V; L6-30P 6ft line cord, (24) C13 output receptacles. Vertical Mount. 1.75""W x 1.75""D x 66""L.  12 lbs",$340.00 ,,
XPD31,"Xtreme Power XPDU Series Basic Power PDU, 30A,  200-240V; L6-30P 6ft line cord, (2) L6-30R, (2) L6-20R and (4) 6-15/20R output receptacles. Rackmount. 19""W x 4.7""D x 3.5""H.  9 lbs",$580.00 ,,
XPD32,"Xtreme Power XPDU Series Basic Power PDU, 30A,  200-240V; L6-30P 6ft line cord, (2) L6-30R, (4) L6-20R output receptacles. Rackmount. 19""W x 2.4""D x 3.5""H.  7.5 lbs",$580.00 ,,
XPD33,"Xtreme Power XPDU Series Basic Power PDU, 30A,  200-240V; L6-30P 6ft line cord, (4) IEC C19 and (8) IEC C13  output receptacles. Rackmount. 19""W x 2.4""D x 3.5""H.  8 lbs",$430.00 ,,
XPDU-IEC,"Xtreme Power XPDU Series Basic Power 230V PDU with C20 inlet (power cord ordered separately), (10) IEC C13 + (2) IEC C19 output receptacles; 1U Rackmount configuration; CE Listed; 3-Year Warranty; 19""W x 3.5""D x 1.75""H, 2.6 lbs",$190.00 ,,
XPD-IT60A,"Xtreme Power XPDU Series PDU with Transformer for use with P80G-5000 UPS.  6000VA, 208 or 240V in, 208/104V or 240/120V out.  Maximum of 4000W of 120V.   L6-30P 3ft line cord. (1) L6-30R and (12) 5-15-20R output receptacles; rear panel 208/240 voltage selection switch; includes front panel rackmount brackets; ROHS Approved; 3-Year Warranty; 19""W x 18""D x 3.5""H (2U), 137 lbs","$2,150.00 ",,
XAT-400,"400VA Step Down Transformer, 208V to 120V for P80G/P90G and P90LG-3000. Input is 208V IEC C14 on 2ft cord; output is 120V 5-15R on 2ft cord. 7""W x 6.8""D x 5.9""H. 8 lbs.",$600.00 ,,
XPD-IT15A,"Xtreme Power XPDU Series PDU with Isolation Transformer.  1500VA, 208V in, 120V out.  IEC-C14 inlet protected by 10A breaker; 3' C14 to C13 input cord; (16) 5-15R output receptacles protected by 15A breaker;   3-Year Warranty; 17.5""W x 15""D x 3.5""H (2U), 43 lbs.",$980.00 ,,
P905SP15,"Xtended 5YR Factory Warranty for P80-800/1100/1500 or P90-1000/1500VA UPS (USA only) - 5 Year Coverage includes coverage of electronics and internal batteries, telephone technical support, advanced exchange and ground shipping both ways.",$375.00 ,,
P905SP23,"Xtended 5YR Factory Warranty for P80-2000/2200/3000 and P80g-3000 or P90-2000/3000VA and P90g-3000 UPS  (USA only)  - 5 Year Coverage includes coverage of electronics and internal batteries, telephone technical support, advanced exchange and ground shipping both ways.",$610.00 ,,
P805SP5,"Xtended 5YR Factory Warranty for P80g-5000 UPS  (USA only)  - 5 Year Coverage includes coverage of electronics and internal batteries, telephone technical support, advanced exchange and ground shipping both ways.",$800.00 ,,
P90L5SPBP,"Xtended 5YR Factory Warranty for P90-BP48/BP72  (USA only)  - 5 Year Coverage includes coverage of battery pack, telephone technical support, advanced exchange and ground shipping both ways.",$320.00 ,,
,,,,
MODEL,DESCRIPTION,LIST PRICE,,
P91c-1000,"Xtreme Power P91 Series 1000VA/800W; Online UPS; 1U; 120VAC;  C14 inlet with 5' C13 to 5-15P input line cord;  (3) 5-15R  output receptacles; Hot Swappable batteries; 1A charger; Full Load Runtime = 8 min; Front mount rack brackets included; 98% efficiency in ECO mode; Smart LED display; Intelligentt slot; USB port and REPO connections; UL, cUL, RoHS approved; FCC Class A; TAA  Compliant;   3 year full Warranty (USA  and Canada);  50K load protection policy; 17.2"" x 17.8"" x 1.7""; 28 lbs","$1,130.00 ",,
P91-1000,"Xtreme Power P91 Series 1000VA/1000W; Online UPS; 2U; 120VAC;  6' input line cord with 5-15 plug; (8) 5-15R output receptacles, (4) of the output receptacles programmable as  group ;  Hot Swappable batteries; 1-8A adjustable charger; Full Load Runtime = 3 min; Tower and rack mounting; 98% efficiency in ECO mode; Smart LCD screen; Intelligent slot; RS-232, USB port, and REPO connections; UL, cUL, RoHS approved; FCC Class B; TAA  Compliant;  3 year full Warranty (USA and Canada);  50K load protection policy; 17.2"" x 15.1"" x 3.5""; 25.5 lbs","$1,165.00 ",,
P91-1500,"Xtreme Power P91 Series 1500VA/1450W; Online UPS; 2U; 120VAC; 6' input line cord with 5-15 plug; (8) 5-15R output receptacles, (4) of the output receptacles programmable as  group; Hot Swappable batteries; 1-8A adjustable charger; Full Load Runtime = 3 min;  Tower and rack mounting; 98% efficiency in ECO mode; Smart LCD screen; Intelligent slot; RS-232, USB port, and REPO connections; UL, cUL, RoHS approved; FCC Class B; TAA  Compliant;  3 year full Warranty (USA and Canada);  50K load protection policy; 17.2"" x 15.1"" x 3.5""; 34.2 lbs","$1,520.00 ",,
